customer_id,age,gender,tenure_months,monthly_charges,total_charges,contract_type,payment_method,paperless_billing,num_support_tickets,num_logins_last_month,feature_usage_score,late_payments,partner,dependents,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,churn
CUST_00084,30,Female,7,59.80,418.60,Month-to-month,Electronic check,No,6,19,4.0,2,No,No,Fiber optic,No,Yes,No,No,No,Yes,1
CUST_00085,54,Male,49,86.40,4233.60,Two year,Credit card,Yes,1,68,9.2,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,0
CUST_00086,28,Female,5,53.90,269.50,Month-to-month,Bank transfer,No,7,14,3.1,3,No,No,DSL,No,Yes,No,No,No,No,1
CUST_00087,49,Male,38,88.60,3366.80,Two year,Credit card,Yes,2,57,8.6,0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,0
CUST_00088,26,Female,4,95.80,383.20,Month-to-month,Electronic check,Yes,8,10,2.7,4,No,No,Fiber optic,No,No,No,No,Yes,Yes,1
CUST_00089,60,Male,62,66.90,4147.80,Two year,Bank transfer,Yes,0,73,9.5,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,0
CUST_00090,32,Female,12,67.40,808.80,One year,Credit card,Yes,4,32,6.9,1,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,0
CUST_00091,27,Male,5,55.10,275.50,Month-to-month,Electronic check,No,7,12,3.0,3,No,No,DSL,No,Yes,No,No,No,No,1
CUST_00092,52,Female,45,80.70,3631.50,Two year,Credit card,Yes,1,64,9.0,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,0
CUST_00093,34,Male,13,70.90,921.70,One year,Bank transfer,Yes,3,35,7.1,1,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,0
CUST_00094,29,Female,6,51.60,309.60,Month-to-month,Electronic check,No,6,16,3.5,2,No,No,DSL,No,No,Yes,No,No,No,1
CUST_00095,47,Male,33,84.50,2788.50,Two year,Credit card,Yes,2,52,8.5,0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,0
CUST_00096,25,Female,3,89.20,267.60,Month-to-month,Electronic check,Yes,9,8,2.2,4,No,No,Fiber optic,No,No,No,No,Yes,Yes,1
CUST_00097,58,Male,60,69.40,4164.00,Two year,Bank transfer,Yes,0,72,9.6,0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,0
CUST_00098,36,Female,14,71.80,1005.20,One year,Credit card,Yes,3,37,7.2,1,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,0
CUST_00099,31,Male,8,58.70,469.60,Month-to-month,Bank transfer,No,6,20,4.1,2,No,No,Fiber optic,No,Yes,No,No,No,Yes,1
CUST_00100,50,Female,41,92.30,3784.30,Two year,Credit card,Yes,1,60,8.8,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,0
